Year,State,TotalCount,pop1000,rate
1917,WEST VIRGINIA,96,1439,0.06671299513551077
1917,WISCONSIN,2580,2587,0.9972941631233089
1918,ALABAMA,1651,2343,0.7046521553563807
1918,ARKANSAS,324,1749,0.18524871355060035
1918,CALIFORNIA,11522,3262,3.532188841201717
1918,COLORADO,2485,906,2.7428256070640176
1918,CONNECTICUT,1259,1329,0.9473288186606471
1918,DELAWARE,454,220,2.0636363636363635
1918,FLORIDA,301,865,0.34797687861271676
1918,GEORGIA,871,2941,0.29615776946616795
1918,IDAHO,51,405,0.1259259259259259
1918,ILLINOIS,6678,6275,1.064223107569721
1918,INDIANA,2089,2880,0.7253472222222223
1918,IOWA,630,2351,0.2679710761378137
1918,KANSAS,2517,1729,1.4557547715442452
1918,KENTUCKY,987,2425,0.4070103092783505
1918,LOUISIANA,1025,1746,0.5870561282932417
1918,MAINE,629,760,0.8276315789473684
1918,MARYLAND,248,1467,0.169052488070893
1918,MASSACHUSETTS,20205,3695,5.468200270635995
1918,MICHIGAN,4278,3499,1.222635038582452
1918,MINNESOTA,1334,2291,0.5822784810126582
1918,MISSISSIPPI,106,1813,0.05846662989520132
1918,MISSOURI,1063,3325,0.31969924812030076
1918,MONTANA,145,501,0.2894211576846307
1918,NEBRASKA,819,1266,0.6469194312796208
1918,NEVADA,1,77,0.012987012987012988
1918,NEW HAMPSHIRE,554,440,1.259090909090909
1918,NEW JERSEY,16929,3043,5.563259940847847
1918,NEW MEXICO,3,382,0.007853403141361256
1918,NEW YORK,15431,9936,1.5530394524959743
1918,NORTH CAROLINA,1297,2522,0.514274385408406
1918,NORTH DAKOTA,34,636,0.05345911949685535
1918,OHIO,5580,5547,1.005949161709032
1918,OKLAHOMA,354,1969,0.1797866937531742
1918,OREGON,3725,763,4.882044560943643
1918,PENNSYLVANIA,27732,8524,3.2534021586109807
1918,RHODE ISLAND,73,604,0.12086092715231789
1918,SOUTH CAROLINA,333,1746,0.19072164948453607
1918,SOUTH DAKOTA,6,570,0.010526315789473684
1918,TENNESSEE,1324,2288,0.5786713286713286
1918,TEXAS,1045,4666,0.2239605657951136
1918,UTAH,1185,437,2.711670480549199
1918,VERMONT,49,352,0.13920454545454544
1918,VIRGINIA,2635,2359,1.1169987282746927
1918,WASHINGTON,2641,1341,1.9694258016405668
1918,WEST VIRGINIA,353,1438,0.2454798331015299
1918,WISCONSIN,8420,2597,3.242202541393916
1918,WYOMING,1,181,0.0055248618784530384
1919,ALABAMA,356,2337,0.15233204963628583
1919,ARIZONA,2,329,0.0060790273556231
1919,ARKANSAS,34,1742,0.01951779563719862
1919,CALIFORNIA,1520,3339,0.4552261156034741
1919,COLORADO,332,938,0.35394456289978676
1919,CONNECTICUT,3028,1359,2.2281089036055923
1919,DELAWARE,41,221,0.18552036199095023
1919,GEORGIA,510,2870,0.17770034843205576
1919,IDAHO,9,424,0.02122641509433962
1919,ILLINOIS,18562,6392,2.9039424280350437
1919,INDIANA,1322,2906,0.45492085340674465
1919,IOWA,200,2379,0.08406893652795293
1919,KANSAS,314,1756,0.1788154897494305
1919,KENTUCKY,410,2413,0.16991297140489017
1919,LOUISIANA,199,1756,0.1133257403189066
1919,MAINE,54,762,0.07086614173228346
1919,MARYLAND,511,1445,0.35363321799307956
1919,MASSACHUSETTS,7877,3785,2.08110964332893
1919,MICHIGAN,4856,3591,1.3522695627958785
1919,MINNESOTA,803,2346,0.3422847399829497
1919,MISSOURI,1253,3371,0.3716997923464847
1919,MONTANA,163,534,0.3052434456928839
1919,NEBRASKA,402,1290,0.3116279069767442
1919,NEVADA,2,77,0.025974025974025976
1919,NEW HAMPSHIRE,32,443,0.07223476297968397
1919,NEW JERSEY,3256,3136,1.038265306122449
1919,NEW MEXICO,7,362,0.019337016574585635
1919,NEW YORK,4644,10252,0.4529847834568865
1919,NORTH CAROLINA,797,2535,0.31439842209072977
