Year,state,TotalCount,pop1000,epi_rate,division,region
1912,NEW JERSEY,3109,2670,116.44194756554307,Middle Atlantic,Northeast
1912,NEW YORK,4643,9361,49.59940177331482,Middle Atlantic,Northeast
1912,NORTH CAROLINA,125,2313,5.40423692174665,South Atlantic,South
1912,OHIO,8479,4893,173.2883711424484,East North Central,North Central
1912,OKLAHOMA,15,1737,0.8635578583765112,West South Central,South
1912,PENNSYLVANIA,13305,7986,166.6040570999249,Middle Atlantic,Northeast
1912,SOUTH CAROLINA,1,1572,0.06361323155216285,South Atlantic,South
1912,TENNESSEE,97,2218,4.373309287646529,East South Central,South
1912,TEXAS,158,4107,3.84709033357682,West South Central,South
1912,VERMONT,404,359,112.53481894150418,New England,Northeast
1912,VIRGINIA,1662,2122,78.32233741753063,South Atlantic,South
1912,WASHINGTON,963,1184,81.33445945945947,Pacific,West
1912,WEST VIRGINIA,211,1291,16.343919442292794,South Atlantic,South
1912,WISCONSIN,2429,2407,100.91400083090984,East North Central,North Central
1913,ALABAMA,7,2279,0.307152259763054,East South Central,South
1913,ARKANSAS,35,1664,2.1033653846153846,West South Central,South
1913,CALIFORNIA,6759,2811,240.44823906083246,Pacific,West
1913,COLORADO,15,835,1.7964071856287425,Mountain,West
1913,CONNECTICUT,787,1208,65.14900662251655,New England,Northeast
1913,GEORGIA,3,2733,0.10976948408342481,South Atlantic,South
1913,ILLINOIS,15556,5961,260.96292568361014,East North Central,North Central
1913,INDIANA,1472,2824,52.124645892351275,East North Central,North Central
1913,IOWA,195,2305,8.459869848156181,West North Central,North Central
1913,KANSAS,813,1663,48.88755261575466,West North Central,North Central
1913,KENTUCKY,182,2374,7.6663858466722825,East South Central,South
1913,LOUISIANA,4555,1727,263.75217139548346,West South Central,South
1913,MAINE,7,763,0.9174311926605505,New England,Northeast
1913,MARYLAND,289,1368,21.125730994152047,South Atlantic,South
1913,MASSACHUSETTS,17459,3534,494.029428409734,New England,Northeast
1913,MICHIGAN,2705,3101,87.2299258303773,East North Central,North Central
1913,MINNESOTA,42,2190,1.9178082191780823,West North Central,North Central
1913,MISSOURI,2013,3409,59.04957465532414,West North Central,North Central
1913,MONTANA,17,433,3.9260969976905313,Mountain,West
1913,NEBRASKA,10,1246,0.8025682182985553,West North Central,North Central
1913,NEW HAMPSHIRE,1186,439,270.1594533029613,New England,Northeast
1913,NEW JERSEY,7381,2729,270.4653719311103,Middle Atlantic,Northeast
1913,NEW YORK,7332,9473,77.39892325556845,Middle Atlantic,Northeast
1913,NORTH CAROLINA,267,2362,11.30397967823878,South Atlantic,South
1913,OHIO,10174,4997,203.6021612967781,East North Central,North Central
1913,OKLAHOMA,103,1777,5.796285875070343,West South Central,South
1913,OREGON,5,722,0.6925207756232686,Pacific,West
1913,PENNSYLVANIA,21821,8139,268.10418970389486,Middle Atlantic,Northeast
1913,TENNESSEE,957,2257,42.40141781125388,East South Central,South
1913,TEXAS,40,4207,0.9507962918944617,West South Central,South
1913,VERMONT,705,361,195.29085872576178,New England,Northeast
1913,VIRGINIA,6149,2176,282.5827205882353,South Atlantic,South
1913,WASHINGTON,490,1209,40.52936311000827,Pacific,West
1913,WEST VIRGINIA,415,1317,31.511009870918755,South Atlantic,South
1913,WISCONSIN,1485,2438,60.91058244462675,East North Central,North Central
1914,ALABAMA,4,2336,0.17123287671232876,East South Central,South
1914,ALASKA,1,NA,NA,Pacific,West
1914,ARIZONA,5,253,1.9762845849802373,Mountain,West
1914,ARKANSAS,914,1688,54.14691943127961,West South Central,South
1914,CALIFORNIA,5690,2934,193.93319700068164,Pacific,West
1914,CONNECTICUT,538,1233,43.63341443633414,New England,Northeast
1914,ILLINOIS,4514,6109,73.89098052054347,East North Central,North Central
1914,INDIANA,752,2857,26.32131606580329,East North Central,North Central
1914,IOWA,9,2338,0.3849443969204448,West North Central,North Central
1914,KANSAS,418,1662,25.150421179302047,West North Central,North Central
1914,KENTUCKY,323,2395,13.48643006263048,East South Central,South
1914,LOUISIANA,680,1740,39.08045977011494,West South Central,South
1914,MAINE,4,772,0.5181347150259068,New England,Northeast
1914,MARYLAND,66,1389,4.751619870410368,South Atlantic,South
1914,MASSACHUSETTS,7597,3636,208.93839383938393,New England,Northeast
1914,MICHIGAN,1571,3183,49.355953502984605,East North Central,North Central
1914,MISSISSIPPI,52,1832,2.8384279475982535,East South Central,South
1914,MISSOURI,241,3467,6.951254687049323,West North Central,North Central
1914,MONTANA,52,452,11.504424778761061,Mountain,West
1914,NEW HAMPSHIRE,243,442,54.97737556561086,New England,Northeast
1914,NEW JERSEY,8558,2789,306.8483327357476,Middle Atlantic,Northeast
1914,NEW YORK,4329,9585,45.16431924882629,Middle Atlantic,Northeast
1914,NORTH CAROLINA,198,2421,8.178438661710038,South Atlantic,South
1914,OHIO,3994,5109,78.17576825210412,East North Central,North Central
1914,OKLAHOMA,27,1824,1.4802631578947367,West South Central,South
1914,OREGON,440,736,59.78260869565217,Pacific,West
1914,PENNSYLVANIA,11246,8276,135.88690188496858,Middle Atlantic,Northeast
1914,RHODE ISLAND,138,589,23.429541595925297,New England,Northeast
1914,SOUTH CAROLINA,18,1622,1.1097410604192355,South Atlantic,South
1914,TENNESSEE,321,2289,14.02359108781127,East South Central,South
1914,TEXAS,347,4300,8.069767441860465,West South Central,South
1914,VERMONT,16,362,4.41988950276243,New England,Northeast
1914,VIRGINIA,981,2241,43.77510040160642,South Atlantic,South
1914,WASHINGTON,691,1231,56.1332250203087,Pacific,West
1914,WEST VIRGINIA,93,1362,6.828193832599119,South Atlantic,South
1914,WISCONSIN,1369,2490,54.979919678714865,East North Central,North Central
1915,ALABAMA,2,2345,0.08528784648187633,East South Central,South
1915,ARIZONA,8,263,3.041825095057034,Mountain,West
1915,ARKANSAS,122,1702,7.1680376028202115,West South Central,South
1915,CALIFORNIA,7996,3008,265.8244680851064,Pacific,West
1915,COLORADO,46,868,5.299539170506913,Mountain,West
1915,CONNECTICUT,504,1258,40.06359300476948,New England,Northeast
1915,DELAWARE,4,217,1.8433179723502304,South Atlantic,South
1915,FLORIDA,30,922,3.2537960954446854,South Atlantic,South
1915,GEORGIA,5,2810,0.1779359430604982,South Atlantic,South
1915,ILLINOIS,20940,6194,338.0690991281886,East North Central,North Central
1915,INDIANA,1030,2873,35.85102680125304,East North Central,North Central
1915,IOWA,30,2366,1.267962806424345,West North Central,North Central
